STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/8/2020,0.01,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/9/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/10/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/11/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/12/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/13/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/14/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/15/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/16/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/17/2020,0.25,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/18/2020,0.26,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/19/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/20/2020,0.02,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/21/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/22/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/23/2020,0.11,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/24/2020,0.58,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/25/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/26/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/27/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/28/2020,0.29,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/29/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/30/2020,0.15,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",8/31/2020,0,,,
US1MANF0039,"WEYMOUTH 2.3 N, MA US",9/1/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/7/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/8/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/12/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/13/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/14/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/15/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/16/2020,0,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/18/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/19/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/27/2020,,,,
US1MANF0036,"WEYMOUTH 2.8 NW, MA US",1/28/2020,0,,,
